vtSymbol,size,priceTick,variableCommission,fixedCommission,slippage,name
002759,1,0.01,0.00003,0,0.01,天际股份
000612,1,0.01,0.00003,0,0.01,焦作万方
300046,1,0.01,0.00003,0,0.01,台基股份
300576,1,0.01,0.00003,0,0.01,容大感光
002041,1,0.01,0.00003,0,0.01,登海种业
300659,1,0.01,0.00003,0,0.01,中孚信息
002882,1,0.01,0.00003,0,0.01,金龙羽
000831,1,0.01,0.00003,0,0.01,五矿稀土
300041,1,0.01,0.00003,0,0.01,回天新材
300127,1,0.01,0.00003,0,0.01,银河磁体
002481,1,0.01,0.00003,0,0.01,双塔食品
300672,1,0.01,0.00003,0,0.01,国科微
002695,1,0.01,0.00003,0,0.01,煌上煌
002869,1,0.01,0.00003,0,0.01,金溢科技
300463,1,0.01,0.00003,0,0.01,迈克生物
002690,1,0.01,0.00003,0,0.01,美亚光电
002315,1,0.01,0.00003,0,0.01,焦点科技
300087,1,0.01,0.00003,0,0.01,荃银高科
002436,1,0.01,0.00003,0,0.01,兴森科技
000858,1,0.01,0.00003,0,0.01,五 粮 液
000966,1,0.01,0.00003,0,0.01,长源电力
000157,1,0.01,0.00003,0,0.01,中联重科
300475,1,0.01,0.00003,0,0.01,聚隆科技
300532,1,0.01,0.00003,0,0.01,今天国际
300401,1,0.01,0.00003,0,0.01,花园生物
002511,1,0.01,0.00003,0,0.01,中顺洁柔
002237,1,0.01,0.00003,0,0.01,恒邦股份
002216,1,0.01,0.00003,0,0.01,三全食品
000715,1,0.01,0.00003,0,0.01,中兴商业
300482,1,0.01,0.00003,0,0.01,万孚生物
300427,1,0.01,0.00003,0,0.01,红相股份
002395,1,0.01,0.00003,0,0.01,双象股份
300220,1,0.01,0.00003,0,0.01,金运激光
000803,1,0.01,0.00003,0,0.01,金宇车城
002142,1,0.01,0.00003,0,0.01,宁波银行
300301,1,0.01,0.00003,0,0.01,长方集团
