vtSymbol,size,priceTick,variableCommission,fixedCommission,slippage,name
000858,1,0.01,0.00003,0,0.01,五 粮 液
000715,1,0.01,0.00003,0,0.01,中兴商业
300046,1,0.01,0.00003,0,0.01,台基股份
002759,1,0.01,0.00003,0,0.01,天际股份
000975,1,0.01,0.00003,0,0.01,银泰资源
002481,1,0.01,0.00003,0,0.01,双塔食品
300482,1,0.01,0.00003,0,0.01,万孚生物
002216,1,0.01,0.00003,0,0.01,三全食品
002395,1,0.01,0.00003,0,0.01,双象股份
000333,1,0.01,0.00003,0,0.01,美的集团
300576,1,0.01,0.00003,0,0.01,容大感光
300475,1,0.01,0.00003,0,0.01,聚隆科技
002410,1,0.01,0.00003,0,0.01,广联达
002690,1,0.01,0.00003,0,0.01,美亚光电
300220,1,0.01,0.00003,0,0.01,金运激光
000612,1,0.01,0.00003,0,0.01,焦作万方
300310,1,0.01,0.00003,0,0.01,宜通世纪
000803,1,0.01,0.00003,0,0.01,金宇车城
300659,1,0.01,0.00003,0,0.01,中孚信息
002142,1,0.01,0.00003,0,0.01,宁波银行
000655,1,0.01,0.00003,0,0.01,金岭矿业
002237,1,0.01,0.00003,0,0.01,恒邦股份
002301,1,0.01,0.00003,0,0.01,齐心集团
002869,1,0.01,0.00003,0,0.01,金溢科技
002697,1,0.01,0.00003,0,0.01,红旗连锁
300672,1,0.01,0.00003,0,0.01,国科微
300401,1,0.01,0.00003,0,0.01,花园生物
002315,1,0.01,0.00003,0,0.01,焦点科技
000966,1,0.01,0.00003,0,0.01,长源电力
300532,1,0.01,0.00003,0,0.01,今天国际
002297,1,0.01,0.00003,0,0.01,博云新材
300087,1,0.01,0.00003,0,0.01,荃银高科
002511,1,0.01,0.00003,0,0.01,中顺洁柔
000157,1,0.01,0.00003,0,0.01,中联重科
002695,1,0.01,0.00003,0,0.01,煌上煌
300301,1,0.01,0.00003,0,0.01,长方集团
300463,1,0.01,0.00003,0,0.01,迈克生物
300041,1,0.01,0.00003,0,0.01,回天新材
